depth_m,area_m2,volume_m3,cumvol_m3,cumvol_per,area_cm2,lake
0.0,1941744,960295,24226424,100.00,1.94174379E+11,LH
0.5,1899515,939180,23266129,96.04,1.89951456E+11,LH
1.0,1857285,918065,22326948,92.16,1.85728533E+11,LH
1.5,1815056,896950,21408883,88.37,1.81505610E+11,LH
2.0,1772827,875687,20511933,84.67,1.77282687E+11,LH
2.5,1730009,854278,19636246,81.05,1.73000890E+11,LH
3.0,1687191,832868,18781969,77.53,1.68719092E+11,LH
3.5,1644373,811458,17949100,74.09,1.64437295E+11,LH
4.0,1601555,786502,17137642,70.74,1.60155497E+11,LH
4.5,1544625,758035,16351140,67.49,1.54462488E+11,LH
5.0,1487695,729569,15593105,64.36,1.48769479E+11,LH
5.5,1430765,701102,14863536,61.35,1.43076469E+11,LH
6.0,1373835,676651,14162434,58.46,1.37383460E+11,LH
6.5,1332873,656170,13485783,55.67,1.33287320E+11,LH
7.0,1291912,635688,12829614,52.96,1.29191180E+11,LH
7.5,1250950,615206,12193926,50.33,1.25095039E+11,LH
8.0,1209989,595370,11578719,47.79,1.20998899E+11,LH
8.5,1171595,576173,10983349,45.34,1.17159547E+11,LH
9.0,1133202,556975,10407176,42.96,1.13320195E+11,LH
9.5,1094808,537777,9850201,40.66,1.09480842E+11,LH
10.0,1056415,519388,9312424,38.44,1.05641490E+11,LH
10.5,1021237,501798,8793036,36.30,1.02123656E+11,LH
11.0,986058,484208,8291238,34.22,9.86058225E+10,LH
11.5,950880,466618,7807030,32.23,9.50879888E+10,LH
12.0,915702,450310,7340412,30.30,9.15701550E+10,LH
12.5,885621,435269,6890102,28.44,8.85620915E+10,LH
13.0,855540,420228,6454834,26.64,8.55540280E+10,LH
13.5,825460,405186,6034606,24.91,8.25459645E+10,LH
14.0,795379,389488,5629420,23.24,7.95379010E+10,LH
14.5,762689,373142,5239931,21.63,7.62689043E+10,LH
15.0,729999,356796,4866789,20.09,7.29999075E+10,LH
15.5,697309,340449,4509993,18.62,6.97309108E+10,LH
16.0,664619,323579,4169544,17.21,6.64619140E+10,LH
16.5,629853,306194,3845965,15.88,6.29853298E+10,LH
17.0,595087,288809,3539771,14.61,5.95087455E+10,LH
17.5,560322,271423,3250962,13.42,5.60321613E+10,LH
18.0,525556,256514,2979539,12.30,5.25555770E+10,LH
18.5,500600,244034,2723026,11.24,5.00599833E+10,LH
19.0,475644,231555,2478991,10.23,4.75643895E+10,LH
19.5,450688,219075,2247436,9.28,4.50687958E+10,LH
20.0,425732,207706,2028361,8.37,4.25732020E+10,LH
20.5,405177,197428,1820655,7.52,4.05177405E+10,LH
21,384622.79,187149,1623227,6.70,3.84622790E+10,LH
21.5,364068.175,176871,1436078,5.93,3.64068175E+10,LH
22,343513.56,164161,1259207,5.20,3.43513560E+10,LH
22.5,313359.3075,149078,1095047,4.52,3.13359308E+10,LH
23,283205.055,133993,945969,3.90,2.83205055E+10,LH
23.5,253050.8025,118907,811976,3.35,2.53050803E+10,LH
24,222896.55,104716,693069,2.86,2.22896550E+10,LH
24.5,196250.495,91383,588353,2.43,1.96250495E+10,LH
25,169604.44,78046,496970,2.05,1.69604440E+10,LH
25.5,142958.385,64703,418924,1.73,1.42958385E+10,LH
26,116312.33,55359,354221,1.46,1.16312330E+10,LH
26.5,105216.34,49808,298862,1.23,1.05216340E+10,LH
27,94120.35,44257,249053,1.03,9.41203500E+09,LH
27.5,83024.36,38705,204796,0.85,8.30243600E+09,LH
28,71928.37,33827,166091,0.69,7.19283700E+09,LH
28.5,63466.6675,29593,132264,0.55,6.34666675E+09,LH
29,55004.965,25358,102672,0.42,5.50049650E+09,LH
29.5,46543.2625,21121,77314,0.32,4.65432625E+09,LH
30,38081.56,17239,56193,0.23,3.80815600E+09,LH
30.5,30994.465,13687,38954,0.16,3.09944650E+09,LH
31,23907.37,10130,25267,0.10,2.39073700E+09,LH
31.5,16820.275,6558,15137,0.06,1.68202750E+09,LH
32,9733.18,4172,8579,0.04,9.73318000E+08,LH
32.5,7029.518889,2812,4407,0.02,7.02951889E+08,LH
33,4325.857778,1433,1595,0.01,4.32585778E+08,LH
33.5,1622.196667,162,162,0.00,1.62219667E+08,LH
33.8,0,,,,,LH
0.0,7291711,3583172,53440505,100.00,7.29171074E+11,LF
0.5,7041704,3458162,49857333,93.30,7.04170377E+11,LF
1.0,6791697,3333151,46399171,86.82,6.79169681E+11,LF
1.5,6541690,3208140,43066020,80.59,6.54168984E+11,LF
2.0,6291683,3066679,39857880,74.58,6.29168287E+11,LF
2.5,5976383,2909011,36791201,68.85,5.97638347E+11,LF
3.0,5661084,2751341,33882190,63.40,5.66108407E+11,LF
3.5,5345785,2593668,31130849,58.25,5.34578466E+11,LF
4.0,5030485,2336638,28537181,53.40,5.03048526E+11,LF
4.5,4324947,1983473,26200543,49.03,4.32494697E+11,LF
5.0,3619409,1773613,24217070,45.32,3.61940867E+11,LF
5.5,3475529,1701668,22443457,42.00,3.47552947E+11,LF
6.0,3331650,1634636,20741789,38.81,3.33165027E+11,LF
6.5,3207289,1572451,19107153,35.75,3.20728857E+11,LF
7.0,3082927,1507053,17534701,32.81,3.08292687E+11,LF
7.5,2945805,1438486,16027648,29.99,2.94580529E+11,LF
8.0,2808684,1369137,14589162,27.30,2.80868371E+11,LF
8.5,2668462,1299018,13220026,24.74,2.66846164E+11,LF
9.0,2528240,1228892,11921008,22.31,2.52823957E+11,LF
9.5,2387994,1158759,10692116,20.01,2.38799449E+11,LF
10.0,2247749,1070784,9533357,17.84,2.24774941E+11,LF
10.5,2037113,965418,8462573,15.84,2.03711277E+11,LF
11.0,1826476,875737,7497155,14.03,1.82647612E+11,LF
11.5,1677528,801238,6621418,12.39,1.67752795E+11,LF
12.0,1528580,735433,5820179,10.89,1.52857978E+11,LF
12.5,1413896,678075,5084747,9.51,1.41389624E+11,LF
13.0,1299213,608485,4406671,8.25,1.29921269E+11,LF
13.5,1136538,527077,3798187,7.11,1.13653814E+11,LF
14.0,973864,470879,3271110,6.12,9.73863590E+10,LF
14.5,910012,438946,2800231,5.24,9.10011610E+10,LF
15.0,846160,408736,2361285,4.42,8.46159630E+10,LF
15.5,789116,380208,1952549,3.65,7.89116000E+10,LF
16.0,732072,341636,1572341,2.94,7.32072370E+10,LF
16.5,635607,293356,1230705,2.30,6.35606565E+10,LF
17.0,539141,247918,937349,1.75,5.39140760E+10,LF
17.5,453755,205161,689432,1.29,4.53755430E+10,LF
18.0,368370,169619,484271,0.91,3.68370100E+10,LF
18.5,310917,140851,314652,0.59,3.10917445E+10,LF
19.0,253465,103488,173800,0.33,2.53464790E+10,LF
19.5,163742,57976,70312,0.13,1.63742150E+10,LF
20.0,74020,12337,12337,0.02,7.40195100E+09,LF
20.5,0,0,0,0.00,0.00000000E+00,LF
0.0,3399580,1690601,72389867,100.00,3.39957973E+11,ELB
0.5,3362858,1672240,70699266,97.66,3.36285795E+11,ELB
1.0,3326136,1653879,69027026,95.35,3.32613617E+11,ELB
1.5,3289414,1635518,67373147,93.07,3.28941439E+11,ELB
2.0,3252693,1617157,65737629,90.81,3.25269261E+11,ELB
2.5,3215971,1601506,64120472,88.58,3.21597083E+11,ELB
3.0,3190072,1588557,62518965,86.36,3.19007210E+11,ELB
3.5,3164173,1575608,60930408,84.17,3.16417337E+11,ELB
4.0,3138275,1562658,59354801,81.99,3.13827464E+11,ELB
4.5,3112376,1549709,57792142,79.83,3.11237591E+11,ELB
5.0,3086477,1532684,56242434,77.69,3.08647718E+11,ELB
5.5,3044306,1511598,54709750,75.58,3.04430622E+11,ELB
6.0,3002135,1490512,53198152,73.49,3.00213526E+11,ELB
6.5,2959964,1469427,51707639,71.43,2.95996431E+11,ELB
7.0,2917793,1448341,50238213,69.40,2.91779335E+11,ELB
7.5,2875622,1422305,48789871,67.40,2.87562239E+11,ELB
8.0,2813709,1391348,47367567,65.43,2.81370924E+11,ELB
8.5,2751796,1360390,45976219,63.51,2.75179610E+11,ELB
9.0,2689883,1329433,44615829,61.63,2.68988295E+11,ELB
9.5,2627970,1298476,43286395,59.80,2.62796981E+11,ELB
10.0,2566057,1272224,41987920,58.00,2.56605666E+11,ELB
10.5,2522899,1250645,40715696,56.25,2.52289907E+11,ELB
11.0,2479741,1229066,39465051,54.52,2.47974148E+11,ELB
11.5,2436584,1207486,38235986,52.82,2.43658389E+11,ELB
12.0,2393426,1185907,37028499,51.15,2.39342630E+11,ELB
12.5,2350269,1165922,35842592,49.51,2.35026871E+11,ELB
13.0,2313469,1147522,34676670,47.90,2.31346871E+11,ELB
13.5,2276669,1129122,33529147,46.32,2.27666872E+11,ELB
14.0,2239869,1110722,32400026,44.76,2.23986872E+11,ELB
14.5,2203069,1092321,31289304,43.22,2.20306873E+11,ELB
15.0,2166269,1074167,30196982,41.71,2.16626873E+11,ELB
15.5,2130448,1056256,29122816,40.23,2.13044805E+11,ELB
16.0,2094627,1038346,28066560,38.77,2.09462738E+11,ELB
16.5,2058807,1020435,27028214,37.34,2.05880670E+11,ELB
17.0,2022986,1002525,26007779,35.93,2.02298603E+11,ELB
17.5,1987165,984307,25005254,34.54,1.98716535E+11,ELB
18.0,1950121,965784,24020947,33.18,1.95012072E+11,ELB
18.5,1913076,947262,23055163,31.85,1.91307609E+11,ELB
19.0,1876031,928739,22107901,30.54,1.87603147E+11,ELB
19.5,1838987,910217,21179162,29.26,1.83898684E+11,ELB
20.0,1801942,892442,20268945,28.00,1.80194221E+11,ELB
20.5,1767880,875410,19376503,26.77,1.76787973E+11,ELB
21,1733817.246,858379,18501093,25.56,1.73381725E+11,ELB
21.5,1699754.764,841347,17642714,24.37,1.69975476E+11,ELB
22,1665692.282,824316,16801367,23.21,1.66569228E+11,ELB
22.5,1631629.8,806829,15977051,22.07,1.63162980E+11,ELB
23,1595751.116,788889,15170222,20.96,1.59575112E+11,ELB
23.5,1559872.432,770949,14381333,19.87,1.55987243E+11,ELB
24,1523993.748,753009,13610384,18.80,1.52399375E+11,ELB
24.5,1488115.064,735070,12857375,17.76,1.48811506E+11,ELB
25,1452236.38,717389,12122305,16.75,1.45223638E+11,ELB
25.5,1417391.926,699967,11404916,15.75,1.41739193E+11,ELB
26,1382547.472,682544,10704949,14.79,1.38254747E+11,ELB
26.5,1347703.018,665121,10022405,13.85,1.34770302E+11,ELB
27,1312858.564,647699,9357283,12.93,1.31285856E+11,ELB
27.5,1278014.11,629735,8709585,12.03,1.27801411E+11,ELB
28,1241015.964,611235,8079850,11.16,1.24101596E+11,ELB
28.5,1204017.818,592735,7468615,10.32,1.20401782E+11,ELB
29,1167019.672,574235,6875879,9.50,1.16701967E+11,ELB
29.5,1130021.526,555736,6301644,8.71,1.13002153E+11,ELB
30,1093023.38,535246,5745908,7.94,1.09302338E+11,ELB
30.5,1048116.948,512791,5210663,7.20,1.04811695E+11,ELB
31,1003210.516,490336,4697872,6.49,1.00321052E+11,ELB
31.5,958304.084,467881,4207536,5.81,9.58304084E+10,ELB
32,913397.652,445425,3739655,5.17,9.13397652E+10,ELB
32.5,868491.22,421223,3294230,4.55,8.68491220E+10,ELB
33,816668.41,395308,2873007,3.97,8.16668410E+10,ELB
33.5,764845.6,369391,2477699,3.42,7.64845600E+10,ELB
34,713022.79,343474,2108308,2.91,7.13022790E+10,ELB
34.5,661199.98,317556,1764833,2.44,6.61199980E+10,ELB
35,609377.17,287016,1447277,2.00,6.09377170E+10,ELB
35.5,539399.548,252003,1160261,1.60,5.39399548E+10,ELB
36,469421.926,216981,908258,1.25,4.69421926E+10,ELB
36.5,399444.304,181947,691277,0.95,3.99444304E+10,ELB
37,329466.682,146891,509330,0.70,3.29466682E+10,ELB
37.5,259489.06,118000,362438,0.50,2.59489060E+10,ELB
38,213264.766,94841,244439,0.34,2.13264766E+10,ELB
38.5,167040.472,71653,149597,0.21,1.67040472E+10,ELB
39,120816.178,48390,77944,0.11,1.20816178E+10,ELB
39.5,74591.884,24827,29554,0.04,7.45918840E+09,ELB
40,28367.59,4728,4728,0.01,2.83675900E+09,ELB
40.5,0,0,0,0.00,0.00000000E+00,ELB
0.0,1015524,505836,17398574,100.00,1.01552449E+11,WLB
0.5,1007823,501985,16892738,97.09,1.00782255E+11,WLB
1.0,1000121,498134,16390754,94.21,1.00012061E+11,WLB
1.5,992419,494283,15892620,91.34,9.92418664E+10,WLB
2.0,984717,490432,15398338,88.50,9.84716722E+10,WLB
2.5,977015,487003,14907906,85.68,9.77014780E+10,WLB
3.0,971000,483996,14420903,82.89,9.71000418E+10,WLB
3.5,964986,480989,13936907,80.10,9.64986056E+10,WLB
4.0,958972,477981,13455918,77.34,9.58971694E+10,WLB
4.5,952957,474974,12977937,74.59,9.52957332E+10,WLB
5.0,946943,468857,12502963,71.86,9.46942970E+10,WLB
5.5,928514,459642,12034106,69.17,9.28513966E+10,WLB
6.0,910085,450427,11574464,66.53,9.10084962E+10,WLB
6.5,891656,441213,11124037,63.94,8.91655958E+10,WLB
7.0,873227,431998,10682824,61.40,8.73226954E+10,WLB
7.5,854798,421853,10250826,58.92,8.54797950E+10,WLB
8.0,832661,410784,9828973,56.49,8.32661158E+10,WLB
8.5,810524,399715,9418189,54.13,8.10524366E+10,WLB
9.0,788388,388646,9018474,51.83,7.88387574E+10,WLB
9.5,766251,377578,8629828,49.60,7.66250782E+10,WLB
10.0,744114,366749,8252250,47.43,7.44113990E+10,WLB
10.5,722932,356157,7885501,45.32,7.22931918E+10,WLB
11.0,701750,345566,7529344,43.28,7.01749846E+10,WLB
11.5,680568,334974,7183778,41.29,6.80567774E+10,WLB
12.0,659386,324383,6848804,39.36,6.59385702E+10,WLB
12.5,638204,313858,6524421,37.50,6.38203630E+10,WLB
13.0,617285,303398,6210563,35.70,6.17285458E+10,WLB
13.5,596367,292939,5907165,33.95,5.96367286E+10,WLB
14.0,575449,282479,5614226,32.27,5.75449114E+10,WLB
14.5,554531,272019,5331747,30.64,5.54530942E+10,WLB
15.0,533613,261760,5059728,29.08,5.33612770E+10,WLB
15.5,513492,251699,4797968,27.58,5.13491830E+10,WLB
16.0,493371,241638,4546269,26.13,4.93370890E+10,WLB
16.5,473250,231577,4304631,24.74,4.73249950E+10,WLB
17.0,453129,221515,4073055,23.41,4.53129010E+10,WLB
17.5,433008,212924,3851540,22.14,4.33008070E+10,WLB
18.0,418728,205784,3638616,20.91,4.18728036E+10,WLB
18.5,404448,198643,3432832,19.73,4.04448002E+10,WLB
19.0,390168,191503,3234189,18.59,3.90167968E+10,WLB
19.5,375888,184362,3042686,17.49,3.75887934E+10,WLB
20.0,361608,177943,2858323,16.43,3.61607900E+10,WLB
20.5,350194,172235,2680381,15.41,3.50193602E+10,WLB
21,338779.304,166528,2508145,14.42,3.38779304E+10,WLB
21.5,327365.006,160820,2341617,13.46,3.27365006E+10,WLB
22,315950.708,155113,2180797,12.53,3.15950708E+10,WLB
22.5,304536.41,149301,2025684,11.64,3.04536410E+10,WLB
23,292706.84,143386,1876383,10.78,2.92706840E+10,WLB
23.5,280877.27,137471,1732997,9.96,2.80877270E+10,WLB
24,269047.7,131555,1595526,9.17,2.69047700E+10,WLB
24.5,257218.13,125640,1463971,8.41,2.57218130E+10,WLB
25,245388.56,119314,1338331,7.69,2.45388560E+10,WLB
25.5,231929.438,112583,1219017,7.01,2.31929438E+10,WLB
26,218470.316,105853,1106434,6.36,2.18470316E+10,WLB
26.5,205011.194,99122,1000581,5.75,2.05011194E+10,WLB
27,191552.072,92391,901460,5.18,1.91552072E+10,WLB
27.5,178092.95,85221,809069,4.65,1.78092950E+10,WLB
28,162902.634,77623,723848,4.16,1.62902634E+10,WLB
28.5,147712.318,70024,646225,3.71,1.47712318E+10,WLB
29,132522.002,62425,576201,3.31,1.32522002E+10,WLB
29.5,117331.686,54824,513776,2.95,1.17331686E+10,WLB
30,102141.37,49178,458952,2.64,1.02141370E+10,WLB
30.5,94617.794,45415,409774,2.36,9.46177940E+09,WLB
31,87094.218,41652,364359,2.09,8.70942180E+09,WLB
31.5,79570.642,37889,322707,1.85,7.95706420E+09,WLB
32,72047.066,34125,284818,1.64,7.20470660E+09,WLB
32.5,64523.49,31081,250693,1.44,6.45234900E+09,WLB
33,59829.456,28733,219612,1.26,5.98294560E+09,WLB
33.5,55135.422,26386,190879,1.10,5.51354220E+09,WLB
34,50441.388,24038,164493,0.95,5.04413880E+09,WLB
34.5,45747.354,21690,140455,0.81,4.57473540E+09,WLB
35,41053.32,19584,118766,0.68,4.10533200E+09,WLB
35.5,37312.68,17713,99182,0.57,3.73126800E+09,WLB
36,33572.04,15842,81469,0.47,3.35720400E+09,WLB
36.5,29831.4,13970,65627,0.38,2.98314000E+09,WLB
37,26090.76,12098,51657,0.30,2.60907600E+09,WLB
37.5,22350.12,10392,39559,0.23,2.23501200E+09,WLB
38,19255.274,8843,29167,0.17,1.92552740E+09,WLB
38.5,16160.428,7293,20325,0.12,1.61604280E+09,WLB
39,13065.582,5742,13032,0.07,1.30655820E+09,WLB
39.5,9970.736,4188,7290,0.04,9.97073600E+08,WLB
40,6875.89,2529,3102,0.02,6.87589000E+08,WLB
40.5,3437.945,573,573,0.00,3.43794500E+08,WLB
41,0,0,0,0.00,0.00000000E+00,WLB