location_name,date_time,depth_m,li_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,f_mgl,cl_mgl,br_mgl,so4_mgl
Lake Fryxell,2022-11-09,4,0.0025,87.956,10.160,10.904,26.82,0.468,125,0.41,23.3
Lake Fryxell,2022-11-09,5,0.0041,102.27,11.84,12.66,30.94,0.575,148,0.43,27.1
Lake Fryxell,2022-11-09,6,0.0085,150.76,16.54,18.38,39.73,0.710,222,0.63,40.0
Lake Fryxell,2022-11-09,7,0.0126,214.46,23.23,25.91,54.84,0.848,312,0.84,53.6
Lake Fryxell,2022-11-09,8,0.0180,332.29,33.22,39.70,65.19,1.347,478,1.5,73.9
Lake Fryxell,2022-11-09,9,0.0309,575.68,52.85,67.94,83.67,2.415,821,2.7,109.3
Lake Fryxell,2022-11-09,10,0.0448,796.07,69.99,92.04,90.99,3.037,1122,2.9,132.4
Lake Fryxell,2022-11-09,11,0.0693,967.84,83.08,111.23,92.72,4.228,1335,3.9,141.0
Lake Fryxell,2022-11-09,12,0.0760,1360.70,109.86,157.59,99.02,5.025,1915,6.6,164.9
Lake Fryxell,2022-11-09,13,0.0962,1639.80,127.40,190.88,107.75,5.996,2339,7.1,183.1
Lake Fryxell,2022-11-09,15,0.1010,2537.70,179.54,301.28,126.48,5.578,3377,9.2,169.3
Lake Fryxell,2022-11-09,19,0.0948,2707.80,183.22,324.57,118.67,8.259,3990,10.6,134.6
,,,,,,,,,,,
,,,,,,,,,,,
Lake Fryxell,2022-12-08,4,,41,4.65,4.84,9.96,0.190,45.78,0.146,7.82
Lake Fryxell,2022-12-08,5,0.0015,85,9.71,10.43,24.57,0.338,121,0.325,20.72
Lake Fryxell,2022-12-08,6,0.0095,157,17.36,19.17,43.24,0.545,220,0.554,37.61
Lake Fryxell,2022-12-08,7,0.0131,216,22.78,25.98,51.37,0.765,288,0.675,46.64
Lake Fryxell,2022-12-08,8,0.0204,381,36.83,45.49,68.41,1.064,511,1.700,73.63
Lake Fryxell,2022-12-08,9,0.0293,548,50.72,64.67,79.96,1.157,742,2.306,98.69
Lake Fryxell,2022-12-08,10,0.0502,828,72.38,95.27,92.95,2.767,1115,2.472,124.72
Lake Fryxell,2022-12-08,11,0.0591,1100,92.07,126.37,94.64,2.858,1477,3.509,135.53
Lake Fryxell,2022-12-08,12,0.0778,1336,107.84,154.44,98.45,4.047,1787,4.456,149.18
Lake Fryxell,2022-12-08,15,0.1070,2119,157.06,249.48,120.43,5.907,2878,7.261,150.13
Lake Fryxell,2022-12-08,19,0.1152,2788,186.42,334.76,118.99,7.019,3776,9.290,77.06
,,,,,,,,,,,
,,,,,,,,,,,
Lake Hoare,2022-11-17,3.5,0.0027,29.213,5.715,5.651,17.092,0.35,41.7,0.06,21.0
Lake Hoare,2022-11-17,5,0.0030,34.021,6.500,6.590,18.932,0.39,47.8,0.08,24.5
Lake Hoare,2022-11-17,6,0.0046,44.730,8.339,8.687,23.212,0.51,61.4,,31.8
Lake Hoare,2022-11-17,8,,66.277,11.85,12.546,30.11,0.77,91.4,0.21,47.2
Lake Hoare,2022-11-17,10,,83.747,14.72,15.777,35.87,0.92,111,0.23,57.7
Lake Hoare,2022-11-17,12,,101.630,17.54,19.041,42.88,1.1,135,0.22,69.4
Lake Hoare,2022-11-17,14,,119.220,20.06,21.932,50.38,1.3,157,0.32,79.7
Lake Hoare,2022-11-17,16,,128.730,21.78,23.853,55.36,1.4,170,0.33,85.8
Lake Hoare,2022-11-17,18,,138.130,23.08,25.502,60.27,1.5,182,0.30,91.1
Lake Hoare,2022-11-17,20,,142.170,23.68,26.244,62.33,1.6,188,0.33,93.6
Lake Hoare,2022-11-17,22,,144.350,23.96,26.573,63.52,1.6,190,0.37,94.8
Lake Hoare,2022-11-17,25,,145.410,24.27,26.790,64.00,1.6,190,0.38,96.4
Lake Hoare,2022-11-17,28.5,,149.420,24.83,27.487,65.71,1.6,198,0.37,98.4
,,,,,,,,,,,
,,,,,,,,,,,
Lake Hoare,2022-12-22,3.5,0.0008,3.38,0.68,0.70,2.39,0.09,5.4,0.02,2.45
Lake Hoare,2022-12-22,5,0.0032,26.7,5.04,5.19,14.6,0.33,37.3,0.07,19.1
Lake Hoare,2022-12-22,6,0.0050,43.6,8.03,8.47,22.2,0.57,60.5,,31.3
Lake Hoare,2022-12-22,8,0.0096,66.4,12.1,12.9,30.6,0.81,92.6,0.28,48.2
Lake Hoare,2022-12-22,10,0.0123,87.3,15.4,16.7,37.4,1.1,118,0.29,61.1
Lake Hoare,2022-12-22,12,0.0137,106,18.3,19.8,44.4,1.2,141,0.36,72.7
Lake Hoare,2022-12-22,14,0.0142,124,21.0,23.0,52.8,1.4,164,0.38,83.4
Lake Hoare,2022-12-22,16,0.0147,132,22.3,24.4,57.0,1.5,174,0.37,87.5
Lake Hoare,2022-12-22,18,0.0205,139,23.3,25.6,60.5,1.6,183,0.45,92.3
Lake Hoare,2022-12-22,20,0.0192,146,24.2,26.9,64.2,1.6,190,0.44,95.0
Lake Hoare,2022-12-22,22,0.0188,147,24.5,26.9,64.5,1.7,191,0.36,96.6
Lake Hoare,2022-12-22,25,0.0198,148,24.6,27.2,65.1,1.7,193,0.42,97.3
Lake Hoare,2022-12-22,28.5,0.0163,151,25.0,27.7,66.6,1.7,197,0.40,98.7
,,,,,,,,,,,
East Lake Bonney,2022-11-28,4.5,0.0099,170,8.69,26.3,43.2,0.28,326,1.1,92.3
East Lake Bonney,2022-11-28,5,0.0118,201,10.2,29.8,51.6,0.31,388,1.2,114
East Lake Bonney,2022-11-28,6,0.0181,273,13.5,40.1,62.0,0.38,516,1.8,138
East Lake Bonney,2022-11-28,8,0.0346,425,19.5,62.4,75.7,,809,3.5,168
East Lake Bonney,2022-11-28,10,,602,27.1,90.7,94.3,,1159,4.9,208
East Lake Bonney,2022-11-28,12,0.0,953,46.8,162,122,,1994,9.8,247
East Lake Bonney,2022-11-28,13,0.1,1074,53.4,190,129,,2253,11,256
East Lake Bonney,2022-11-28,15,0.2,2436,122,536,228,,5469,32,407
East Lake Bonney,2022-11-28,18,0.6,7564,332,2070,606,,18113,109,1204
East Lake Bonney,2022-11-28,20,0.8,8806,500,3524,476,,24732,215,1063
East Lake Bonney,2022-11-28,22,1.7,14103,841,8277,649,,43982,437,1549
East Lake Bonney,2022-11-28,25,4.4,25988,1557,19614,881,,100502,973,2867
East Lake Bonney,2022-11-28,27,6.2,33901,2062,25052,943,,128282,1225,3083
East Lake Bonney,2022-11-28,30,7.7,42478,2699,28930,1020,,151371,1415,3169
East Lake Bonney,2022-11-28,35,8.7,47221,3020,30457,1087,,163356,1519,3292
East Lake Bonney,2022-11-28,39,9.1,50982,3014,30890,1060,,169103,1506,3411
East Lake Bonney,2022-11-28,41,6.6,73165,2389,23911,908,,195333,1454,3662
,,,,,,,,,,,
,,,,,,,,,,,
East Lake Bonney,2022-12-18,4.5,0.020,183,9.06,26.8,46.6,0.33,344,1.1,102
East Lake Bonney,2022-12-18,5,0.023,178,8.89,27.4,44.6,0.34,336,1.1,97.6
East Lake Bonney,2022-12-18,6,0.037,369,17.2,54.2,72.5,0.39,691,2.5,161
East Lake Bonney,2022-12-18,8,0.049,506,22.5,74.5,85.5,0.51,981,4.0,187
East Lake Bonney,2022-12-18,10,0.078,629,27.7,95.6,98.6,0.60,1228,5.4,213
East Lake Bonney,2022-12-18,12,0.098,868,40.1,142,117,0.66,1780,8.4,243
East Lake Bonney,2022-12-18,13,0.14,1124,54.3,198,138,0.67,2343,11.4,264
East Lake Bonney,2022-12-18,15,0.35,2965,144,672,266,,6617,41.9,461
East Lake Bonney,2022-12-18,18,1.1,7714,334,2028,509,,18359,113.2,1204
East Lake Bonney,2022-12-18,20,1.4,8960,491,3465,463,6,24985,198.5,1045
East Lake Bonney,2022-12-18,22,2.7,14006,814,8064,612,8,46467,425.2,1552
East Lake Bonney,2022-12-18,25,5.1,26127,1543,19550,828,30,99611,933.6,2821
East Lake Bonney,2022-12-18,30,8.2,43019,2669,29212,942,27,156250,1459.4,3119
East Lake Bonney,2022-12-18,35,8.9,48045,2998,30784,999,29,171210,1524.9,3312
East Lake Bonney,2022-12-18,41,7.4,72898,2396,25237,860,30,191582,1429.9,3500
,,,,,,,,,,,
,,,,,,,,,,,
West Lake Bonney,2022-11-23,3.5,,152,8,22,40,0.26,291,0.92,86.3
West Lake Bonney,2022-11-23,5,,209,10,30,52,0.34,395,1.2,114.1
West Lake Bonney,2022-11-23,6,0.0136,286,13,41,62,0.38,540,1.9,138.5
West Lake Bonney,2022-11-23,8,,419,16,57,70,0.44,799,2.7,166.6
West Lake Bonney,2022-11-23,10,,654,23,88,92,,1259,4.1,198.2
West Lake Bonney,2022-11-23,12,,909,34,134,112,,1829,,227.5
West Lake Bonney,2022-11-23,13,,1084,45,176,128,,2245,8.6,252.8
West Lake Bonney,2022-11-23,14,0.1,1638,75,310,169,,3539,18,321.8
West Lake Bonney,2022-11-23,15,0.2,2515,119,536,237,,5603,28,432.5
West Lake Bonney,2022-11-23,17,,9260,327,2280,675,,21822,106,1791.1
West Lake Bonney,2022-11-23,20,1.9,22852,735,5049,1503,,51502,219,3905.8
West Lake Bonney,2022-11-23,22,1.9,23909,784,5265,1544,,54688,244,4023.0
West Lake Bonney,2022-11-23,25,2.9,30354,1041,6831,1697,,69156,332,4438.8
West Lake Bonney,2022-11-23,27,3.4,32655,1129,7336,1672,,73716,322,4384.0
West Lake Bonney,2022-11-23,30,3.6,35201,1237,7960,1754,,79004,372,4514.6
West Lake Bonney,2022-11-23,35,3.7,37959,1314,8626,1863,,84674,393,4677.0
West Lake Bonney,2022-11-23,42.5,3.6,39554,1367,8779,1891,,87730,379,4651.0
,,,,,,,,,,,
,,,,,,,,,,,
West Lake Bonney,2022-12-15,3.5,0.017,142,6.65,21.1,36.4,0.22,283,0.90,81
West Lake Bonney,2022-12-15,5,0.021,203,9.25,29.4,49.6,0.27,388,1.2,111
West Lake Bonney,2022-12-15,6,0.037,364,15.5,50.9,69.4,0.32,710,2.3,161
West Lake Bonney,2022-12-15,8,0.083,571,21.0,74.2,77.7,0.47,1142,3.7,194
West Lake Bonney,2022-12-15,10,0.074,629,21.8,81.6,82.0,0.54,1238,4.2,200
West Lake Bonney,2022-12-15,12,0.12,956,36.6,138,108,0.83,1960,7.8,246
West Lake Bonney,2022-12-15,13,0.16,1319,57.0,218,131,0.88,2827,13,294
West Lake Bonney,2022-12-15,14,0.22,1876,85.9,351,161,1.58,4176,22,366
West Lake Bonney,2022-12-15,15,0.34,3056,144,645,225,,7058,46,536
West Lake Bonney,2022-12-15,17,1.4,8818,298,2158,651,,21286,115,1787
West Lake Bonney,2022-12-15,20,2.9,23163,738,5228,1779,,53310,229,4046
West Lake Bonney,2022-12-15,22,3.0,24609,795,5553,1873,,56668,249,4147
West Lake Bonney,2022-12-15,25,3.9,30830,1059,7119,2022,,71088,347,4646
West Lake Bonney,2022-12-15,30,4.2,35671,1235,8285,2095,,82200,359,4735
West Lake Bonney,2022-12-15,35,4.6,38557,1323,8982,2237,,88944,396,4974
West Lake Bonney,2022-12-15,42.5,4.7,40330,1355,9189,2271,,92288,408,4981